"Step","CartPole_Comparison_10_4 - rollout/ep_rew_mean","CartPole_Comparison_10_4 - rollout/ep_rew_mean__MIN","CartPole_Comparison_10_4 - rollout/ep_rew_mean__MAX","CartPole_Comparison_10_3 - rollout/ep_rew_mean","CartPole_Comparison_10_3 - rollout/ep_rew_mean__MIN","CartPole_Comparison_10_3 - rollout/ep_rew_mean__MAX","CartPole_Comparison_10_2 - rollout/ep_rew_mean","CartPole_Comparison_10_2 - rollout/ep_rew_mean__MIN","CartPole_Comparison_10_2 - rollout/ep_rew_mean__MAX","CartPole_Comparison_10_1 - rollout/ep_rew_mean","CartPole_Comparison_10_1 - rollout/ep_rew_mean__MIN","CartPole_Comparison_10_1 - rollout/ep_rew_mean__MAX","CartPole_Comparison_10_0 - rollout/ep_rew_mean","CartPole_Comparison_10_0 - rollout/ep_rew_mean__MIN","CartPole_Comparison_10_0 - rollout/ep_rew_mean__MAX"
"0","49.25","49.25","49.25","27.5","27.5","27.5","31.5","31.5","31.5","28","28","28","31.25","31.25","31.25"
"1","47","47","47","43.125","43.125","43.125","25.625","25.625","25.625","35.875","35.875","35.875","24.625","24.625","24.625"
"2","40.58333206176758","40.58333206176758","40.58333206176758","45.91666793823242","45.91666793823242","45.91666793823242","21.16666603088379","21.16666603088379","21.16666603088379","29.91666603088379","29.91666603088379","29.91666603088379","25.41666603088379","25.41666603088379","25.41666603088379"
"3","37.1875","37.1875","37.1875","46.125","46.125","46.125","21.875","21.875","21.875","31.8125","31.8125","31.8125","22.8125","22.8125","22.8125"
"4","34.20000076293945","34.20000076293945","34.20000076293945","42.45000076293945","42.45000076293945","42.45000076293945","20.100000381469727","20.100000381469727","20.100000381469727","28.899999618530273","28.899999618530273","28.899999618530273","21.399999618530273","21.399999618530273","21.399999618530273"
"5","31","31","31","42.83333206176758","42.83333206176758","42.83333206176758","18.45833396911621","18.45833396911621","18.45833396911621","27.375","27.375","27.375","19.95833396911621","19.95833396911621","19.95833396911621"
"6","28.5","28.5","28.5","43.82143020629883","43.82143020629883","43.82143020629883","17.5","17.5","17.5","26.821428298950195","26.821428298950195","26.821428298950195","19.35714340209961","19.35714340209961","19.35714340209961"
"7","26.875","26.875","26.875","42.125","42.125","42.125","16.4375","16.4375","16.4375","25.375","25.375","25.375","18.5625","18.5625","18.5625"
"8","25.69444465637207","25.69444465637207","25.69444465637207","39.55555725097656","39.55555725097656","39.55555725097656","15.583333015441895","15.583333015441895","15.583333015441895","24.36111068725586","24.36111068725586","24.36111068725586","17.80555534362793","17.80555534362793","17.80555534362793"
"9","25.649999618530273","25.649999618530273","25.649999618530273","38.54999923706055","38.54999923706055","38.54999923706055","14.800000190734863","14.800000190734863","14.800000190734863","23.774999618530273","23.774999618530273","23.774999618530273","18.325000762939453","18.325000762939453","18.325000762939453"
"10","26.600000381469727","26.600000381469727","26.600000381469727","37.377777099609375","37.377777099609375","37.377777099609375","14.088889122009277","14.088889122009277","14.088889122009277","23.066667556762695","23.066667556762695","23.066667556762695","18.53333282470703","18.53333282470703","18.53333282470703"
