Step,CartPole_Preference_Improved100_500_4,CartPole_Preference_Improved100_500_3,CartPole_Preference_Improved100_500_2,CartPole_Preference_Improved100_500_1,CartPole_Preference_Improved100_500_0,CartPole_Preference_Improved100_300_4,CartPole_Preference_Improved100_300_3,CartPole_Preference_Improved100_300_2,CartPole_Preference_Improved100_300_1,CartPole_Preference_Improved100_300_0,CartPole_Preference_Improved100_200_4,CartPole_Preference_Improved100_200_3,CartPole_Preference_Improved100_200_2,CartPole_Preference_Improved100_200_1,CartPole_Preference_Improved100_200_0,CartPole_Preference_Improved100_100_4,CartPole_Preference_Improved100_100_3,CartPole_Preference_Improved100_100_2,CartPole_Preference_Improved100_100_1,CartPole_Preference_Improved100_100_0,CartPole_Preference_Improved100_50_4,CartPole_Preference_Improved100_50_3,CartPole_Preference_Improved100_50_2,CartPole_Preference_Improved100_50_1,CartPole_Preference_Improved100_50_0,CartPole_Preference_Improved100_25_4,CartPole_Preference_Improved100_25_3,CartPole_Preference_Improved100_25_2,CartPole_Preference_Improved100_25_1,CartPole_Preference_Improved100_25_0,CartPole_Preference_Improved100_10_4,CartPole_Preference_Improved100_10_3,CartPole_Preference_Improved100_10_2,CartPole_Preference_Improved100_10_1,CartPole_Preference_Improved100_10_0,CartPole_MSE_500_4,CartPole_MSE_500_3,CartPole_MSE_500_2,CartPole_MSE_500_1,CartPole_MSE_500_0,CartPole_MSE_300_4,CartPole_MSE_300_3,CartPole_MSE_300_2,CartPole_MSE_300_1,CartPole_MSE_300_0,CartPole_MSE_200_4,CartPole_MSE_200_3,CartPole_MSE_200_2,CartPole_MSE_200_1,CartPole_MSE_200_0,CartPole_MSE_100_4,CartPole_MSE_100_3,CartPole_MSE_100_2,CartPole_MSE_100_1,CartPole_MSE_100_0,CartPole_MSE_50_4,CartPole_MSE_50_3,CartPole_MSE_50_2,CartPole_MSE_50_1,CartPole_MSE_50_0,CartPole_MSE_25_4,CartPole_MSE_25_3,CartPole_MSE_25_2,CartPole_MSE_25_1,CartPole_MSE_25_0,CartPole_MSE_10_4,CartPole_MSE_10_3,CartPole_MSE_10_2,CartPole_MSE_10_1,CartPole_MSE_10_0,CartPole_Comparison_500_4,CartPole_Comparison_500_3,CartPole_Comparison_500_2,CartPole_Comparison_500_1,CartPole_Comparison_500_0,CartPole_Comparison_300_4,CartPole_Comparison_300_3,CartPole_Comparison_300_2,CartPole_Comparison_300_1,CartPole_Comparison_300_0,CartPole_Comparison_200_4,CartPole_Comparison_200_3,CartPole_Comparison_200_2,CartPole_Comparison_200_1,CartPole_Comparison_200_0,CartPole_Comparison_100_4,CartPole_Comparison_100_3,CartPole_Comparison_100_2,CartPole_Comparison_100_1,CartPole_Comparison_100_0,CartPole_Comparison_50_4,CartPole_Comparison_50_3,CartPole_Comparison_50_2,CartPole_Comparison_50_1,CartPole_Comparison_50_0,CartPole_Comparison_25_4,CartPole_Comparison_25_3,CartPole_Comparison_25_2,CartPole_Comparison_25_1,CartPole_Comparison_25_0,CartPole_Comparison_10_4,CartPole_Comparison_10_3,CartPole_Comparison_10_2,CartPole_Comparison_10_1,CartPole_Comparison_10_0
0,49.25,27.5,31.5,28.0,31.25,49.25,27.5,31.5,28.0,31.25,49.25,27.5,31.5,28.0,31.25,49.25,27.5,31.5,28.0,31.25,49.25,27.5,31.5,28.0,31.25,49.25,27.5,31.5,28.0,31.25,49.25,27.5,31.5,28.0,31.25,49.25,27.5,31.5,28.0,31.25,49.25,27.5,31.5,28.0,31.25,49.25,27.5,31.5,28.0,31.25,49.25,27.5,31.5,28.0,31.25,49.25,27.5,31.5,28.0,31.25,49.25,27.5,31.5,28.0,31.25,49.25,27.5,31.5,28.0,31.25,49.25,27.5,31.5,28.0,31.25,49.25,27.5,31.5,28.0,31.25,49.25,27.5,31.5,28.0,31.25,49.25,27.5,31.5,28.0,31.25,49.25,27.5,31.5,28.0,31.25,49.25,27.5,31.5,28.0,31.25,49.25,27.5,31.5,28.0,31.25
1,41.0,35.0,26.125,34.875,26.375,39.375,40.5,26.75,36.875,24.5,44.75,28.5,26.75,35.25,24.5,37.125,34.75,25.625,36.125,30.25,41.875,28.5,35.625,34.875,24.5,36.0,35.625,25.75,35.25,26.75,47.0,35.5,26.75,35.875,26.125,41.75,35.875,29.0,34.0,28.0,40.125,36.125,27.25,36.25,27.0,42.25,38.5,26.625,34.875,26.375,37.5,44.75,28.5,44.125,27.75,36.25,34.875,28.625,34.25,29.25,37.375,35.625,26.625,33.5,28.5,36.0,31.0,26.75,34.0,24.625,36.5,44.375,37.0,40.125,24.625,36.875,35.375,26.75,37.5,24.625,36.125,35.625,26.75,35.875,24.5,43.375,36.25,25.75,41.25,24.375,41.125,36.125,26.75,34.875,24.5,37.0,35.5,25.75,35.25,32.25,47.0,43.125,25.625,35.875,24.625
2,37.58333206176758,36.0,21.5,36.08333206176758,38.33333206176758,39.5,39.5,21.91666603088379,36.83333206176758,25.08333396911621,39.5,30.25,21.83333396911621,30.5,24.66666603088379,37.0,31.5,21.08333396911621,33.91666793823242,36.41666793823242,37.33333206176758,30.25,33.58333206176758,30.0,24.66666603088379,31.75,33.58333206176758,21.33333396911621,34.58333206176758,25.41666603088379,40.58333206176758,32.5,21.83333396911621,29.91666603088379,30.41666603088379,38.66666793823242,39.08333206176758,25.41666603088379,33.91666793823242,35.83333206176758,36.0,34.25,24.66666603088379,33.08333206176758,33.41666793823242,42.08333206176758,37.16666793823242,21.91666603088379,29.91666603088379,33.0,34.66666793823242,39.58333206176758,23.16666603088379,43.08333206176758,26.33333396911621,32.75,32.83333206176758,26.5,29.16666603088379,27.91666603088379,36.83333206176758,35.83333206176758,21.83333396911621,29.75,28.75,30.83333396911621,32.25,21.91666603088379,33.0,37.33333206176758,32.25,45.33333206176758,33.66666793823242,37.33333206176758,27.58333396911621,34.66666793823242,32.0,21.91666603088379,39.16666793823242,25.25,34.25,33.08333206176758,21.91666603088379,31.75,25.16666603088379,39.58333206176758,35.58333206176758,22.33333396911621,37.16666793823242,25.16666603088379,38.0,35.66666793823242,21.83333396911621,30.0,25.16666603088379,34.0,33.66666793823242,21.33333396911621,34.58333206176758,32.0,40.58333206176758,45.91666793823242,21.16666603088379,29.91666603088379,25.41666603088379
3,36.6875,32.25,23.1875,36.8125,35.5625,39.625,41.25,22.9375,38.0,22.5625,40.6875,26.375,22.375,26.6875,22.25,31.3125,28.375,22.6875,36.8125,32.5,35.625,26.375,31.75,27.1875,22.25,30.4375,31.5625,23.3125,30.8125,24.0,37.1875,28.9375,22.625,31.8125,28.625,43.375,41.6875,29.9375,35.0,34.5,35.625,31.0,30.0,34.625,36.875,41.625,37.625,23.6875,26.6875,36.3125,32.9375,35.125,24.125,45.25,25.375,31.375,30.3125,31.0,25.1875,26.6875,30.9375,35.6875,22.375,28.5625,32.0625,29.625,28.25,22.6875,28.8125,37.0,29.875,41.625,35.375,40.375,28.0625,38.1875,33.6875,23.5625,39.4375,22.6875,34.5625,29.4375,22.4375,29.8125,22.625,42.5625,34.0,25.875,35.0625,23.0,41.9375,32.4375,22.375,27.1875,22.625,33.4375,29.75,23.3125,30.8125,29.75,37.1875,46.125,21.875,31.8125,22.8125
4,34.70000076293945,29.149999618530273,25.0,35.650001525878906,41.900001525878906,38.20000076293945,40.5,24.950000762939453,37.25,21.0,41.54999923706055,24.899999618530273,20.649999618530273,25.799999237060547,23.049999237060547,27.950000762939453,26.899999618530273,21.100000381469727,33.45000076293945,30.399999618530273,33.45000076293945,25.049999237060547,30.25,25.100000381469727,21.0,27.450000762939453,27.5,21.649999618530273,31.149999618530273,22.399999618530273,34.20000076293945,25.850000381469727,20.700000762939453,28.899999618530273,29.950000762939453,41.0,38.45000076293945,29.649999618530273,32.849998474121094,38.25,36.150001525878906,32.29999923706055,32.79999923706055,32.20000076293945,42.25,41.45000076293945,38.25,22.100000381469727,24.700000762939453,39.150001525878906,30.75,30.399999618530273,24.299999237060547,43.150001525878906,23.700000762939453,28.549999237060547,28.0,31.399999618530273,23.299999237060547,26.75,27.850000381469727,31.700000762939453,20.450000762939453,27.649999618530273,30.700000762939453,27.0,25.399999618530273,20.75,26.200000762939453,37.79999923706055,27.0,37.099998474121094,37.349998474121094,38.45000076293945,27.549999237060547,38.95000076293945,30.899999618530273,24.5,36.75,22.200000762939453,35.75,26.950000762939453,20.75,30.0,20.799999237060547,40.150001525878906,29.25,27.899999618530273,31.799999237060547,21.649999618530273,42.599998474121094,31.200000762939453,20.649999618530273,25.100000381469727,20.799999237060547,31.799999237060547,26.399999618530273,21.649999618530273,31.149999618530273,27.350000381469727,34.20000076293945,42.45000076293945,20.100000381469727,28.899999618530273,21.399999618530273
5,33.375,27.79166603088379,26.70833396911621,34.58333206176758,43.58333206176758,37.95833206176758,39.875,27.08333396911621,36.5,19.625,40.25,23.70833396911621,19.04166603088379,24.16666603088379,23.20833396911621,25.25,26.83333396911621,20.20833396911621,33.0,28.125,31.91666603088379,23.375,28.83333396911621,23.08333396911621,19.79166603088379,24.91666603088379,24.75,20.41666603088379,30.04166603088379,20.5,31.0,23.20833396911621,18.95833396911621,27.375,30.70833396911621,45.83333206176758,37.0,31.66666603088379,34.29166793823242,39.95833206176758,36.83333206176758,31.08333396911621,35.54166793823242,30.25,39.08333206176758,42.25,38.625,20.91666603088379,22.54166603088379,37.29166793823242,29.375,31.16666603088379,25.125,41.54166793823242,21.79166603088379,26.29166603088379,25.54166603088379,31.625,21.375,26.45833396911621,25.125,30.83333396911621,18.625,26.91666603088379,28.91666603088379,24.79166603088379,24.5,19.0,23.79166603088379,36.625,24.66666603088379,35.16666793823242,36.20833206176758,37.375,26.54166603088379,38.91666793823242,28.95833396911621,23.41666603088379,37.45833206176758,22.0,36.375,24.41666603088379,19.0,28.54166603088379,20.20833396911621,38.16666793823242,28.54166603088379,28.54166603088379,29.45833396911621,20.125,40.08333206176758,34.04166793823242,18.91666603088379,23.08333396911621,19.45833396911621,30.04166603088379,23.83333396911621,20.41666603088379,30.04166603088379,25.75,31.0,42.83333206176758,18.45833396911621,27.375,19.95833396911621
6,33.46428680419922,27.25,25.75,34.75,49.17856979370117,37.78571319580078,43.96428680419922,26.821428298950195,37.78571319580078,20.25,38.57143020629883,21.85714340209961,19.35714340209961,22.60714340209961,23.75,23.25,27.75,21.64285659790039,32.67856979370117,26.85714340209961,32.0,21.821428298950195,27.928571701049805,21.14285659790039,20.39285659790039,22.85714340209961,22.821428298950195,19.678571701049805,29.85714340209961,18.785715103149418,28.5,21.39285659790039,18.285715103149418,26.821428298950195,29.821428298950195,44.75,39.75,30.071428298950195,35.82143020629883,42.28571319580078,39.39285659790039,33.35714340209961,34.03571319580078,28.89285659790039,38.03571319580078,43.07143020629883,41.60714340209961,20.14285659790039,20.678571701049805,37.64285659790039,28.678571701049805,31.678571701049805,24.071428298950195,42.5,20.25,24.071428298950195,25.214284896850582,29.678571701049805,19.60714340209961,25.785715103149418,23.0,29.178571701049805,17.571428298950195,26.571428298950195,27.928571701049805,22.785715103149418,22.571428298950195,18.35714340209961,21.75,35.75,22.678571701049805,34.14285659790039,33.92856979370117,36.28571319580078,29.464284896850582,38.35714340209961,29.39285659790039,23.14285659790039,37.89285659790039,21.75,35.85714340209961,23.39285659790039,18.39285659790039,26.714284896850582,19.571428298950195,36.60714340209961,28.535715103149418,27.321428298950195,27.75,19.714284896850582,41.25,33.85714340209961,17.964284896850586,21.14285659790039,18.678571701049805,32.71428680419922,22.39285659790039,19.678571701049805,29.85714340209961,23.64285659790039,28.5,43.82143020629883,17.5,26.821428298950195,19.35714340209961
7,33.15625,26.59375,25.0625,34.8125,58.6875,39.875,45.875,27.3125,36.78125,20.1875,39.21875,20.25,19.25,21.78125,24.40625,21.875,27.4375,22.21875,31.625,26.6875,31.28125,20.40625,28.71875,20.1875,20.40625,21.34375,21.1875,18.90625,28.8125,17.59375,26.875,19.9375,17.21875,25.375,30.03125,46.46875,39.84375,29.375,35.4375,42.75,41.65625,33.1875,33.71875,29.59375,37.65625,42.6875,43.375,19.28125,19.5625,39.65625,27.8125,30.375,25.625,45.28125,19.375,22.40625,25.8125,28.625,18.5,24.0625,21.5,28.96875,16.5,28.71875,27.75,21.65625,21.09375,17.59375,20.5625,34.53125,21.1875,33.34375,33.125,35.84375,29.53125,38.6875,29.4375,22.6875,37.78125,22.1875,35.75,22.90625,17.8125,26.0,18.71875,35.78125,28.875,26.3125,25.78125,19.0625,41.4375,34.8125,16.875,20.1875,17.625,32.125,22.0,18.90625,28.8125,22.25,26.875,42.125,16.4375,25.375,18.5625
8,32.58333206176758,26.11111068725586,25.88888931274414,35.36111068725586,66.80555725097656,40.02777862548828,50.0,26.22222137451172,38.72222137451172,19.52777862548828,39.11111068725586,18.88888931274414,18.97222137451172,21.11111068725586,23.77777862548828,20.52777862548828,27.19444465637207,21.36111068725586,31.52777862548828,25.08333396911621,30.91666603088379,19.16666603088379,31.30555534362793,19.0,19.72222137451172,20.02777862548828,19.94444465637207,18.19444465637207,28.52777862548828,16.61111068725586,25.69444465637207,18.83333396911621,16.27777862548828,24.36111068725586,28.86111068725586,47.22222137451172,42.86111068725586,29.72222137451172,37.83333206176758,40.63888931274414,44.36111068725586,33.16666793823242,32.63888931274414,29.63888931274414,36.16666793823242,43.38888931274414,47.16666793823242,19.30555534362793,18.38888931274414,39.80555725097656,27.22222137451172,30.41666603088379,25.55555534362793,47.86111068725586,18.88888931274414,21.02777862548828,25.55555534362793,28.22222137451172,17.41666603088379,22.58333396911621,20.08333396911621,27.75,15.63888931274414,27.69444465637207,28.16666603088379,21.58333396911621,20.02777862548828,16.69444465637207,19.27777862548828,32.94444274902344,19.94444465637207,32.55555725097656,33.25,35.36111068725586,28.77777862548828,39.02777862548828,27.94444465637207,24.13888931274414,37.27777862548828,21.13888931274414,34.0,21.58333396911621,17.11111068725586,24.91666603088379,17.94444465637207,34.91666793823242,28.63888931274414,26.72222137451172,24.25,18.36111068725586,39.75,35.22222137451172,16.02777862548828,19.0,16.66666603088379,32.83333206176758,20.66666603088379,18.19444465637207,28.52777862548828,21.05555534362793,25.69444465637207,39.55555725097656,15.583333015441896,24.36111068725586,17.80555534362793
9,33.17499923706055,25.875,26.725000381469727,35.025001525878906,72.8499984741211,39.54999923706055,56.32500076293945,25.649999618530273,42.54999923706055,20.5,39.5,17.850000381469727,19.575000762939453,21.0,24.5,19.549999237060547,27.799999237060547,23.625,30.825000762939453,23.825000762939453,30.0,18.25,32.54999923706055,18.174999237060547,20.875,18.975000381469727,19.049999237060547,17.575000762939453,29.075000762939453,15.899999618530272,25.649999618530273,18.075000762939453,15.425000190734863,23.774999618530273,29.5,48.57500076293945,44.42499923706055,29.225000381469727,38.625,40.75,47.900001525878906,35.125,32.20000076293945,29.899999618530273,35.70000076293945,43.349998474121094,48.20000076293945,19.325000762939453,17.549999237060547,40.29999923706055,26.049999237060547,30.049999237060547,25.549999237060547,51.95000076293945,18.274999618530273,19.950000762939453,26.649999618530273,28.100000381469727,16.524999618530273,21.475000381469727,18.975000381469727,27.524999618530273,14.850000381469728,29.399999618530273,28.674999237060547,21.125,19.549999237060547,16.0,18.325000762939453,31.5,18.924999237060547,31.375,33.0,34.5,29.575000762939453,39.17499923706055,27.125,24.875,37.224998474121094,21.299999237060547,32.599998474121094,20.799999237060547,16.524999618530273,24.049999237060547,17.725000381469727,33.5,28.25,26.399999618530273,23.0,18.200000762939453,37.775001525878906,34.67499923706055,15.300000190734863,18.174999237060547,15.850000381469728,32.150001525878906,19.924999237060547,17.575000762939453,29.075000762939453,20.0,25.649999618530273,38.54999923706055,14.800000190734863,23.774999618530273,18.325000762939453
